Station_ID,altimeter_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,precip_accum_24_hour_set_1,precip_accum_since_local_midnight_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,pressure_set_1d,sea_level_pressure_set_1d,dew_point_temperature_set_1,sea_level_pressure_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,pressure_tendency_set_1,precip_accum_one_hour_set_1,precip_accum_three_hour_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,precip_accum_six_hour_set_1,visibility_set_1,metar_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,peak_wind_speed_set_1,ceiling_set_1,pressure_change_code_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,peak_wind_direction_set_1,weather_condition_set_1d,weather_summary_set_1d,Lat,Long,TDS,Water Temperature,5s,15s,6s,14n,10s,Cluster
KHYI,30.012548278709886,73.20499064610321,68.73462965711747,8.306313449870824,153.28139367129313,12.077422288359807,210.45164319248826,0.111646690984888,0.0784872611464968,-4.08,SSE,92.17972837643164,60.15769733161316,29.370651974703847,29.993382983918767,60.99716012084595,29.96854812726543,257.418595861287,535.6972668474859,4344.611471321696,0.07278566710700134,0.11334545454545444,160.92860928556286,418.8154824371875,0.16980794701986754,9.379379833367055,METAR KHYI 112300Z AUTO 16010KT 10SM CLR 38/19 A2977,81.77445754716976,70.97169811320747,34.36452991452989,2892.6578425494627,0.0,90.03161290322579,66.4951612903226,209.48717948717947,haze,clear,29.893364213896536,-97.93097265443143,426.07586558875204,71.74582970646948,USGS,8170500.0,CDT,116.0,A,1.0
KHYI,30.012545349382847,73.20531908824516,68.73420073646943,8.306352141737372,153.28147481388163,12.077476985565301,210.4516396617853,0.11164813853827545,0.07848725836478165,-4.08,SSE,92.17988405604062,60.157774412563256,29.370649068279032,29.993379682191907,60.99721841750193,29.968545358601,257.4182587486618,535.696723774608,4344.630846768871,0.07278563776517309,0.11334573619058846,160.9266777806198,418.81435542585217,0.16980901622511144,9.379387328779696,METAR KHYI 112300Z AUTO 16010KT 10SM CLR 38/19 A2977,81.77470296897167,70.97198952803902,34.36451644327574,2892.645080868032,0.0,90.03173250592714,66.4952303775415,209.4870180250455,haze,clear,29.893364213830328,-97.93097265432253,426.07568992789527,71.74583123211839,USGS,8170500.0,CDT,92.24880268060899,A,1.0650841569248226
KHYI,30.012542420055812,73.20564753038713,68.7337718158214,8.306390833603919,153.28155595647016,12.077531682770797,210.4516361310823,0.11164958609166291,0.07848725558306652,-4.08,SSE,92.1800397356496,60.15785149351336,29.370646161854218,29.99337638046505,60.997276714157906,29.96854258993657,257.4179216360366,535.6961807017302,4344.650222216048,0.07278560842334485,0.11334601783572247,160.92474627567674,418.8132284145168,0.16981008543035533,9.379394824192337,METAR KHYI 112300Z AUTO 16010KT 10SM CLR 38/19 A2977,81.77494839077359,70.97228094287058,34.36450297202159,2892.6323191866013,0.0,90.03185210862848,66.49529946476042,209.4868565629115,haze,clear,29.893364213764116,-97.93097265421362,426.07551426703844,71.74583275776732,USGS,8170500.0,CDT,92.27410990788306,A,1.0650117607547172
KHYI,30.012539490728773,73.20597597252907,68.73334289517337,8.306429525470467,153.28163709905866,12.07758637997629,210.45163260037933,0.11165103364505036,0.07848725280135137,-4.08,SSE,92.18019541525858,60.15792857446346,29.3706432554294,29.99337307873819,60.997335010813885,29.968539821272138,257.41758452341145,535.6956376288523,4344.669597663224,0.0727855790815166,0.11334629948085649,160.92281477073368,418.8121014031815,0.16981115463559923,9.379402319604978,METAR KHYI 112300Z AUTO 16010KT 10SM CLR 38/19 A2977,81.7751938125755,70.97257235770213,34.36448950076744,2892.6195575051706,0.0,90.03197171132982,66.49536855197933,209.48669510077752,haze,clear,29.893364213697907,-97.93097265410472,426.0753386061817,71.74583428341623,USGS,8170500.0,CDT,92.29941713515713,A,1.0649393645846117
KHYI,30.012536561401735,73.20630441467104,68.73291397452533,8.306468217337015,153.28171824164718,12.077641077181784,210.45162906967633,0.1116524811984378,0.07848725001963622,-4.08,SSE,92.18035109486756,60.15800565541356,29.370640349004585,29.99336977701133,60.99739330746986,29.968537052607708,257.4172474107862,535.6950945559744,4344.688973110399,0.07278554973968837,0.1133465811259905,160.92088326579062,418.8109743918462,0.16981222384084313,9.379409815017617,METAR KHYI 112300Z AUTO 16010KT 10SM CLR 38/19 A2977,81.77543923437742,70.97286377253369,34.3644760295133,2892.60679582374,0.0,90.03209131403116,66.49543763919824,209.48653363864355,haze,clear,29.893364213631695,-97.93097265399582,426.0751629453249,71.74583580906514,USGS,8170500.0,CDT,92.32472436243121,A,1.0648669684145062
KHYI,30.0125336320747,73.20663285681299,68.7324850538773,8.306506909203561,153.28179938423568,12.07769577438728,210.45162553897336,0.11165392875182525,0.07848724723792108,-4.08,SSE,92.18050677447654,60.15808273636366,29.37063744257977,29.99336647528447,60.99745160412584,29.96853428394328,257.41691029816104,535.6945514830965,4344.708348557575,0.07278552039786013,0.11334686277112452,160.91895176084753,418.80984738051086,0.16981329304608703,9.379417310430258,METAR KHYI 112300Z AUTO 16010KT 10SM CLR 38/19 A2977,81.77568465617932,70.97315518736524,34.36446255825915,2892.5940341423093,0.0,90.03221091673251,66.49550672641715,209.48637217650955,haze,clear,29.893364213565487,-97.93097265388691,426.0749872844681,71.74583733471405,USGS,8170500.0,CDT,92.35003158970528,A,1.0647945722444008
KHYI,30.01253070274766,73.20696129895494,68.73205613322926,8.306545601070109,153.2818805268242,12.077750471592774,210.45162200827036,0.11165537630521272,0.07848724445620593,-4.08,SSE,92.18066245408552,60.158159817313766,29.370634536154956,29.993363173557615,60.99750990078182,29.96853151527885,257.41657318553587,535.6940084102187,4344.7277240047515,0.07278549105603188,0.11334714441625852,160.91702025590448,418.8087203691755,0.16981436225133092,9.379424805842898,METAR KHYI 112300Z AUTO 16010KT 10SM CLR 38/19 A2977,81.77593007798124,70.9734466021968,34.364449087005,2892.5812724608786,0.0,90.03233051943386,66.49557581363605,209.48621071437557,haze,clear,29.893364213499275,-97.93097265377801,426.0748116236113,71.74583886036298,USGS,8170500.0,CDT,92.37533881697935,A,1.0647221760742953
KHYI,30.012527773420622,73.2072897410969,68.73162721258123,8.306584292936657,153.2819616694127,12.07780516879827,210.4516184775674,0.11165682385860017,0.07848724167449078,-4.08,SSE,92.1808181336945,60.158236898263866,29.37063162973014,29.993359871830755,60.9975681974378,29.96852874661442,257.4162360729107,535.6934653373407,4344.747099451927,0.07278546171420364,0.11334742606139254,160.91508875096142,418.8075933578402,0.16981543145657482,9.37943230125554,METAR KHYI 112300Z AUTO 16010KT 10SM CLR 38/19 A2977,81.77617549978315,70.97373801702835,34.36443561575085,2892.568510779448,0.0,90.0324501221352,66.49564490085497,209.48604925224157,haze,clear,29.893364213433067,-97.93097265366912,426.07463596275454,71.74584038601189,USGS,8170500.0,CDT,92.40064604425342,A,1.0646497799041899
KHYI,30.012524844093587,73.20761818323885,68.7311982919332,8.306622984803203,153.2820428120012,12.077859866003763,210.4516149468644,0.11165827141198761,0.07848723889277565,-4.08,SSE,92.18097381330348,60.158313979213965,29.370628723305323,29.993356570103895,60.99762649409378,29.96852597794999,257.4158989602855,535.6929222644628,4344.766474899103,0.07278543237237539,0.11334770770652655,160.91315724601836,418.80646634650486,0.16981650066181872,9.37943979666818,METAR KHYI 112300Z AUTO 16010KT 10SM CLR 38/19 A2977,81.77642092158507,70.9740294318599,34.3644221444967,2892.5557490980173,0.0,90.03256972483653,66.49571398807387,209.4858877901076,haze,clear,29.893364213366855,-97.9309726535602,426.0744603018977,71.7458419116608,USGS,8170500.0,CDT,92.42595327152749,A,1.0645773837340844
KHYI,30.01252191476655,73.20794662538081,68.73076937128518,8.306661676669751,153.28212395458974,12.077914563209257,210.45161141616143,0.11165971896537506,0.0784872361110605,-4.08,SSE,92.18112949291246,60.15839106016407,29.37062581688051,29.99335326837704,60.99768479074976,29.96852320928556,257.41556184766034,535.6923791915849,4344.785850346279,0.07278540303054715,0.11334798935166057,160.9112257410753,418.8053393351695,0.16981756986706262,9.37944729208082,METAR KHYI 112300Z AUTO 16010KT 10SM CLR 38/19 A2977,81.77666634338698,70.97432084669147,34.36440867324255,2892.5429874165866,0.0,90.03268932753788,66.49578307529278,209.48572632797362,haze,clear,29.893364213300647,-97.9309726534513,426.07428464104095,71.74584343730972,USGS,8170500.0,CDT,92.45126049880157,A,1.0645049875639787
